Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
ABAIARA,,,,,,,3.9,4.3,,,,,,,4.1,4.3
ACARAPE,,,,,,,3.5,4.3,,,,,,,3.8,4.0
ACARAÚ,,,,,,,4.2,4.6,,,,,,,4.4,4.6
ACOPIARA,,,,,,,3.6,4.6,,,,,,,3.8,4.0
AIUABA,,,,,,,4.0,4.1,,,,,,,4.3,4.5
ALCÂNTARAS,,,,,,,3.6,4.0,,,,,,,3.9,4.1
ALTANEIRA,,,,,,,3.0,3.5,,,,,,,3.2,3.4
ALTO SANTO,,,,,,,3.4,3.7,,,,,,,3.6,3.9
AMONTADA,,,,,,,3.6,4.3,,,,,,,3.9,4.1
ANTONINA DO NORTE,,,,,,,3.6,4.0,,,,,,,3.8,4.0
APUIARÉS,,,,,,,3.6,4.5,,,,,,,3.8,4.0
AQUIRAZ,,,,,,,3.8,4.1,,,,,,,4.0,4.3
ARACATI,,,,,,,3.8,4.5,,,,,,,4.0,4.3
ARACOIABA,,,,,,,4.2,4.7,,,,,,,4.4,4.7
ARARENDÁ,,,,,,,5.3,5.6,,,,,,,5.5,5.7
ARARIPE,,,,,,,4.1,4.6,,,,,,,4.3,4.5
ARATUBA,,,,,,,3.2,3.8,,,,,,,3.4,3.6
ARNEIROZ,,,,,,,4.4,4.6,,,,,,,4.7,4.9
ASSARÉ,,,,,,,3.8,4.6,,,,,,,4.0,4.2
AURORA,,,,,,,4.5,4.9,,,,,,,4.8,5.0
BAIXIO,,,,,,,3.9,3.9,,,,,,,4.1,4.3
BANABUIÚ,,,,,,,3.6,3.9,,,,,,,3.8,4.0
BARBALHA,,,,,,,3.9,4.1,,,,,,,4.1,4.3
BARREIRA,,,,,,,2.9,3.6,,,,,,,3.1,3.3
BARRO,,,,,,,4.2,4.9,,,,,,,4.5,4.7
BARROQUINHA,,,,,,,3.8,4.2,,,,,,,4.0,4.2
BATURITÉ,,,,,,,3.4,4.3,,,,,,,3.7,3.9
BEBERIBE,,,,,,,4.5,5.1,,,,,,,4.8,5.0
BELA CRUZ,,,,,,,4.6,5.0,,,,,,,4.8,5.0
BOA VIAGEM,,,,,,,3.8,4.4,,,,,,,4.0,4.3
BREJO SANTO,,,,,,,3.6,4.1,,,,,,,3.8,4.0
CAMOCIM,,,,,,,4.0,4.5,,,,,,,4.2,4.4
CAMPOS SALES,,,,,,,4.4,4.5,,,,,,,4.6,4.8
CANINDÉ,,,,,,,4.2,4.8,,,,,,,4.5,4.7
CAPISTRANO,,,,,,,3.2,3.7,,,,,,,3.4,3.6
CARIDADE,,,,,,,4.0,5.1,,,,,,,4.2,4.5
CARIRÉ,,,,,,,4.4,4.8,,,,,,,4.6,4.8
CARIRIAÇU,,,,,,,3.9,4.5,,,,,,,4.1,4.3
CARIÚS,,,,,,,4.3,5.0,,,,,,,4.5,4.7
CARNAUBAL,,,,,,,4.2,4.6,,,,,,,4.4,4.6
CASCAVEL,,,,,,,3.9,4.4,,,,,,,4.1,4.3
CATARINA,,,,,,,3.8,4.0,,,,,,,4.0,4.2
CATUNDA,,,,,,,3.4,3.9,,,,,,,3.6,3.8
CAUCAIA,,,,,,,3.6,4.0,,,,,,,3.8,4.0
CEDRO,,,,,,,3.6,4.4,,,,,,,3.8,4.1
CHAVAL,,,,,,,3.5,3.9,,,,,,,3.7,4.0
CHORÓ,,,,,,,3.3,4.0,,,,,,,3.5,3.7
CHOROZINHO,,,,,,,4.0,4.6,,,,,,,4.2,4.4
COREAÚ,,,,,,,3.7,4.3,,,,,,,4.0,4.2
CRATEÚS,,,,,,,3.9,4.7,,,,,,,4.1,4.3
CRATO,,,,,,,3.9,4.4,,,,,,,4.1,4.4
CROATÁ,,,,,,,3.7,3.9,,,,,,,3.9,4.1
CRUZ,,,,,,,4.3,4.5,,,,,,,4.5,4.7
DEPUTADO IRAPUAN PINHEIRO,,,,,,,3.6,4.2,,,,,,,3.8,4.1
ERERÊ,,,,,,,3.8,4.1,,,,,,,4.0,4.2
EUSÉBIO,,,,,,,3.4,4.5,,,,,,,3.6,3.8
FARIAS BRITO,,,,,,,3.8,4.6,,,,,,,4.0,4.2
FORQUILHA,,,,,,,4.2,4.4,,,,,,,4.4,4.6
FORTALEZA,,,,,,,4.0,4.3,,,,,,,4.3,4.5
FORTIM,,,,,,,3.3,4.0,,,,,,,3.5,3.8
FRECHEIRINHA,,,,,,,4.1,3.8,,,,,,,4.4,4.6
GENERAL SAMPAIO,,,,,,,3.6,4.0,,,,,,,3.8,4.0
GRAÇA,,,,,,,3.7,4.2,,,,,,,4.0,4.2
GRANJA,,,,,,,3.7,4.5,,,,,,,3.9,4.1
GRANJEIRO,,,,,,,3.9,4.6,,,,,,,4.2,4.4
GROAÍRAS,,,,,,,4.4,4.3,,,,,,,4.6,4.8
GUAIÚBA,,,,,,,3.6,4.1,,,,,,,3.8,4.1
GUARACIABA DO NORTE,,,,,,,3.9,4.9,,,,,,,4.2,4.4
GUARAMIRANGA,,,,,,,4.1,4.7,,,,,,,4.4,4.6
HIDROLÂNDIA,,,,,,,4.5,4.8,,,,,,,4.7,4.9
HORIZONTE,,,,,,,3.8,4.5,,,,,,,4.0,4.2
IBARETAMA,,,,,,,3.7,3.9,,,,,,,3.9,4.1
IBIAPINA,,,,,,,4.0,4.4,,,,,,,4.2,4.4
IBICUITINGA,,,,,,,3.9,3.9,,,,,,,4.1,4.3
ICAPUÍ,,,,,,,3.6,4.4,,,,,,,3.8,4.1
ICÓ,,,,,,,3.9,4.2,,,,,,,4.1,4.3
IGUATU,,,,,,,4.0,4.8,,,,,,,4.2,4.5
INDEPENDÊNCIA,,,,,,,4.2,4.5,,,,,,,4.4,4.6
IPAPORANGA,,,,,,,3.7,4.4,,,,,,,4.0,4.2
IPAUMIRIM,,,,,,,3.6,3.7,,,,,,,3.8,4.0
IPU,,,,,,,4.6,4.6,,,,,,,4.8,5.0
IPUEIRAS,,,,,,,3.8,4.6,,,,,,,4.0,4.3
IRACEMA,,,,,,,4.2,4.4,,,,,,,4.4,4.7
IRAUÇUBA,,,,,,,3.9,4.3,,,,,,,4.2,4.4
ITAIÇABA,,,,,,,4.3,5.1,,,,,,,4.5,4.7
ITAITINGA,,,,,,,3.7,4.5,,,,,,,3.9,4.1
ITAPAJÉ,,,,,,,4.2,4.7,,,,,,,4.4,4.6
ITAPIPOCA,,,,,,,4.4,4.7,,,,,,,4.6,4.8
ITAPIÚNA,,,,,,,3.8,4.0,,,,,,,4.0,4.2
ITAREMA,,,,,,,3.8,4.0,,,,,,,4.1,4.3
ITATIRA,,,,,,,3.7,3.9,,,,,,,3.9,4.1
JAGUARETAMA,,,,,,,3.6,4.1,,,,,,,3.8,4.0
JAGUARIBARA,,,,,,,4.0,4.0,,,,,,,4.2,4.4
JAGUARIBE,,,,,,,4.2,4.7,,,,,,,4.4,4.6
JAGUARUANA,,,,,,,4.3,4.5,,,,,,,4.6,4.8
JARDIM,,,,,,,4.1,4.4,,,,,,,4.3,4.6
JATI,,,,,,,3.9,3.8,,,,,,,4.1,4.4
JIJOCA DE JERICOACOARA,,,,,,,4.5,4.6,,,,,,,4.7,4.9
JUAZEIRO DO NORTE,,,,,,,4.0,4.4,,,,,,,4.2,4.4
JUCÁS,,,,,,,4.2,4.5,,,,,,,4.5,4.7
LAVRAS DA MANGABEIRA,,,,,,,3.5,4.5,,,,,,,3.7,4.0
LIMOEIRO DO NORTE,,,,,,,3.8,5.1,,,,,,,4.0,4.3
MADALENA,,,,,,,3.6,4.1,,,,,,,3.8,4.1
MARACANAÚ,,,,,,,3.6,4.2,,,,,,,3.8,4.0
MARANGUAPE,,,,,,,3.8,4.3,,,,,,,4.1,4.3
MARCO,,,,,,,4.1,4.5,,,,,,,4.3,4.5
MARTINÓPOLE,,,,,,,3.8,4.1,,,,,,,4.0,4.2
MASSAPÊ,,,,,,,3.9,4.2,,,,,,,4.1,4.4
MAURITI,,,,,,,3.9,4.5,,,,,,,4.2,4.4
MERUOCA,,,,,,,4.1,4.4,,,,,,,4.3,4.5
MILAGRES,,,,,,,4.6,4.6,,,,,,,4.8,5.0
MILHÃ,,,,,,,3.7,4.1,,,,,,,3.9,4.1
MIRAÍMA,,,,,,,3.5,3.9,,,,,,,3.7,3.9
MISSÃO VELHA,,,,,,,3.4,4.0,,,,,,,3.6,3.8
MOMBAÇA,,,,,,,4.2,4.4,,,,,,,4.4,4.6
MONSENHOR TABOSA,,,,,,,3.8,4.4,,,,,,,4.1,4.3
MORADA NOVA,,,,,,,3.7,4.5,,,,,,,3.9,4.2
MORAÚJO,,,,,,,4.2,4.1,,,,,,,4.4,4.7
MORRINHOS,,,,,,,3.9,4.2,,,,,,,4.1,4.3
MUCAMBO,,,,,,,3.8,3.9,,,,,,,4.0,4.2
MULUNGU,,,,,,,4.1,4.2,,,,,,,4.3,4.6
NOVA OLINDA,,,,,,,4.2,4.9,,,,,,,4.5,4.7
NOVA RUSSAS,,,,,,,4.0,4.5,,,,,,,4.2,4.5
NOVO ORIENTE,,,,,,,4.4,4.7,,,,,,,4.6,4.9
OCARA,,,,,,,3.5,4.2,,,,,,,3.7,3.9
ORÓS,,,,,,,3.7,4.0,,,,,,,3.9,4.1
PACAJUS,,,,,,,4.0,4.8,,,,,,,4.3,4.5
PACATUBA,,,,,,,3.9,4.8,,,,,,,4.2,4.4
PACOTI,,,,,,,4.8,4.5,,,,,,,5.0,5.2
PACUJÁ,,,,,,,5.2,5.5,,,,,,,5.4,5.6
PALHANO,,,,,,,3.6,4.3,,,,,,,3.8,4.0
PALMÁCIA,,,,,,,4.2,5.0,,,,,,,4.4,4.6
PARACURU,,,,,,,4.3,4.8,,,,,,,4.5,4.7
PARAIPABA,,,,,,,3.6,4.2,,,,,,,3.8,4.0
PARAMBU,,,,,,,4.0,4.7,,,,,,,4.2,4.4
PARAMOTI,,,,,,,3.6,4.5,,,,,,,3.8,4.0
PEDRA BRANCA,,,,,,,4.6,5.1,,,,,,,4.8,5.0
PENAFORTE,,,,,,,3.8,4.2,,,,,,,4.0,4.2
PENTECOSTE,,,,,,,3.9,4.3,,,,,,,4.1,4.3
PEREIRO,,,,,,,4.7,4.9,,,,,,,4.9,5.1
PINDORETAMA,,,,,,,3.3,3.7,,,,,,,3.5,3.8
PIQUET CARNEIRO,,,,,,,3.3,4.1,,,,,,,3.5,3.8
PIRES FERREIRA,,,,,,,3.7,3.9,,,,,,,3.9,4.1
PORANGA,,,,,,,3.8,4.3,,,,,,,4.0,4.2
PORTEIRAS,,,,,,,3.2,3.8,,,,,,,3.4,3.7
POTENGI,,,,,,,4.1,4.1,,,,,,,4.3,4.5
POTIRETAMA,,,,,,,4.2,3.6,,,,,,,4.4,4.7
QUITERIANÓPOLIS,,,,,,,3.7,4.0,,,,,,,3.9,4.1
QUIXADÁ,,,,,,,3.4,3.7,,,,,,,3.6,3.8
QUIXELÔ,,,,,,,4.0,4.4,,,,,,,4.2,4.4
QUIXERAMOBIM,,,,,,,3.9,4.4,,,,,,,4.2,4.4
QUIXERÉ,,,,,,,3.6,4.6,,,,,,,3.8,4.0
REDENÇÃO,,,,,,,3.8,4.6,,,,,,,4.0,4.2
RERIUTABA,,,,,,,4.5,4.8,,,,,,,4.7,4.9
RUSSAS,,,,,,,4.3,5.2,,,,,,,4.5,4.8
SABOEIRO,,,,,,,4.0,4.4,,,,,,,4.2,4.4
SALITRE,,,,,,,3.4,3.7,,,,,,,3.6,3.8
SANTA QUITÉRIA,,,,,,,4.2,4.5,,,,,,,4.4,4.6
SANTANA DO ACARAÚ,,,,,,,4.3,3.8,,,,,,,4.5,4.8
SANTANA DO CARIRI,,,,,,,3.2,3.5,,,,,,,3.4,3.6
SÃO BENEDITO,,,,,,,4.5,4.9,,,,,,,4.7,4.9
SÃO GONÇALO DO AMARANTE,,,,,,,3.8,4.3,,,,,,,4.0,4.3
SÃO JOÃO DO JAGUARIBE,,,,,,,4.2,4.6,,,,,,,4.5,4.7
SÃO LUÍS DO CURU,,,,,,,3.8,4.1,,,,,,,4.0,4.2
SENADOR POMPEU,,,,,,,4.3,4.6,,,,,,,4.6,4.8
SENADOR SÁ,,,,,,,3.2,4.1,,,,,,,3.4,3.6
SOBRAL,,,,,,,4.3,4.9,,,,,,,4.5,4.7
SOLONÓPOLE,,,,,,,3.5,4.0,,,,,,,3.7,3.9
TABULEIRO DO NORTE,,,,,,,3.9,4.6,,,,,,,4.2,4.4
TAMBORIL,,,,,,,3.9,4.3,,,,,,,4.1,4.3
TARRAFAS,,,,,,,4.0,4.5,,,,,,,4.2,4.4
TAUÁ,,,,,,,3.9,4.5,,,,,,,4.2,4.4
TEJUÇUOCA,,,,,,,4.1,4.1,,,,,,,4.3,4.6
TIANGUÁ,,,,,,,4.1,4.4,,,,,,,4.3,4.5
TRAIRI,,,,,,,4.0,4.5,,,,,,,4.2,4.4
TURURU,,,,,,,3.7,4.0,,,,,,,3.9,4.1
UBAJARA,,,,,,,4.5,4.4,,,,,,,4.7,4.9
UMARI,,,,,,,3.5,4.2,,,,,,,3.8,4.0
UMIRIM,,,,,,,3.4,3.8,,,,,,,3.6,3.9
URUBURETAMA,,,,,,,4.5,4.6,,,,,,,4.7,4.9
URUOCA,,,,,,,3.4,4.0,,,,,,,3.6,3.9
VARJOTA,,,,,,,3.8,4.3,,,,,,,4.0,4.2
VÁRZEA ALEGRE,,,,,,,3.8,4.1,,,,,,,4.1,4.3
VIÇOSA DO CEARÁ,,,,,,,3.9,4.4,,,,,,,4.1,4.3
