Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
ABAIARA,3.5,3.5,6.5,5.8,7.1,5.5,5.8,6.1,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.8
ACARAPE,2.6,3.0,3.1,4.1,3.9,5.4,5.4,5.4,2.7,3.1,3.6,3.8,4.1,4.4,4.7,5.0
ACARAÚ,3.4,3.7,4.0,4.8,4.5,5.3,6.3,6.5,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.7
ACOPIARA,2.8,3.5,4.4,4.8,5.0,6.0,6.0,6.0,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
AIUABA,4.4,3.9,4.6,5.4,6.0,5.8,6.1,6.8,4.4,4.8,5.2,5.4,5.7,5.9,6.2,6.5
ALCÂNTARAS,2.7,3.4,4.0,4.9,6.9,7.0,7.3,7.3,2.8,3.1,3.6,3.8,4.1,4.4,4.7,5.1
ALTANEIRA,3.1,5.2,3.7,4.8,5.9,7.1,7.1,6.5,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
ALTO SANTO,,4.1,4.7,4.8,4.9,6.1,5.4,6.0,,4.3,4.7,5.0,5.2,5.5,5.8,6.0
AMONTADA,3.2,3.4,4.3,4.6,4.8,5.7,5.7,5.8,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
ANTONINA DO NORTE,2.8,3.4,3.9,4.5,5.1,6.5,5.7,7.3,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
APUIARÉS,3.3,3.6,3.7,4.8,4.4,5.3,5.3,5.7,3.3,3.7,4.1,4.4,4.7,5.0,5.3,5.5
AQUIRAZ,2.5,2.9,4.0,4.9,5.4,4.9,5.6,6.0,2.5,2.9,3.3,3.5,3.8,4.1,4.4,4.8
ARACATI,3.3,3.8,4.1,4.8,4.8,5.7,6.1,6.1,3.3,3.7,4.1,4.4,4.7,5.0,5.3,5.5
ARACOIABA,2.7,3.3,3.6,3.9,4.3,5.1,5.6,5.2,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
ARARENDÁ,3.0,3.4,3.6,4.7,5.1,7.2,8.3,8.3,3.0,3.4,3.8,4.1,4.4,4.7,5.0,5.3
ARARIPE,2.6,3.6,4.4,4.5,5.0,5.9,6.0,5.9,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
ARATUBA,3.2,4.0,3.9,5.1,5.4,6.1,5.9,5.7,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
ARNEIROZ,3.8,3.8,3.4,4.5,4.3,5.8,5.4,5.7,3.8,4.2,4.6,4.9,5.1,5.4,5.7,6.0
ASSARÉ,3.2,3.5,3.7,4.5,4.9,5.8,6.0,6.3,3.2,3.6,4.0,4.3,4.5,4.8,5.1,5.4
AURORA,3.5,3.1,3.4,3.5,4.4,4.9,5.2,5.0,3.6,3.9,4.4,4.6,4.9,5.2,5.5,5.8
BAIXIO,2.8,3.0,3.5,4.0,5.1,4.7,5.5,4.8,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
BANABUIÚ,2.5,3.2,4.2,4.8,5.0,5.5,5.7,5.7,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
BARBALHA,3.0,3.9,3.9,4.8,5.0,5.8,6.2,6.2,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
BARREIRA,2.6,3.2,3.5,4.6,5.1,5.8,5.9,6.0,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
BARRO,3.3,3.2,3.7,3.8,4.6,5.3,5.3,5.6,3.3,3.7,4.1,4.4,4.7,4.9,5.2,5.5
BARROQUINHA,2.8,3.4,4.0,4.9,5.0,5.6,7.2,7.4,2.8,3.1,3.6,3.8,4.1,4.4,4.7,5.0
BATURITÉ,2.5,3.0,3.5,4.3,4.7,4.6,5.0,5.5,2.6,2.9,3.3,3.5,3.8,4.1,4.5,4.8
