Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
ABAIARA,3.4,3.2,5.0,4.0,4.1,4.4,4.8,4.6,3.4,3.6,3.8,4.2,4.6,4.9,5.1,5.4
ACARAPE,2.6,3.1,3.4,3.3,3.4,3.9,4.7,4.9,2.6,2.7,3.0,3.4,3.8,4.0,4.3,4.6
ACARAÚ,3.4,3.5,3.6,4.0,4.2,4.5,5.1,5.3,3.4,3.6,3.8,4.2,4.6,4.9,5.1,5.4
ACOPIARA,3.0,3.5,4.0,4.1,4.3,5.4,5.2,5.5,3.0,3.2,3.4,3.8,4.2,4.5,4.8,5.0
AIUABA,2.2,3.8,4.5,4.8,4.4,4.8,4.8,5.5,2.2,2.4,2.6,3.0,3.4,3.6,3.9,4.2
ALCÂNTARAS,2.7,3.3,3.3,3.6,3.8,4.8,4.9,5.1,2.7,2.8,3.1,3.5,3.9,4.2,4.4,4.7
ALTANEIRA,3.4,3.7,4.1,3.6,4.3,5.1,5.4,5.4,3.4,3.6,3.9,4.3,4.6,4.9,5.2,5.4
ALTO SANTO,3.1,3.4,3.7,3.9,4.4,4.6,4.6,5.8,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2
AMONTADA,3.2,3.5,3.7,4.0,4.3,4.6,5.0,5.2,3.2,3.3,3.6,4.0,4.4,4.7,4.9,5.2
ANTONINA DO NORTE,2.5,2.4,3.1,3.9,4.4,4.6,4.5,5.1,2.5,2.7,2.9,3.3,3.7,3.9,4.2,4.5
APUIARÉS,3.2,,3.7,3.8,3.9,4.9,4.6,5.2,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.2
AQUIRAZ,2.5,2.9,3.6,4.1,4.8,4.7,4.4,5.1,2.5,2.6,2.9,3.3,3.6,3.9,4.2,4.4
ARACATI,2.8,3.3,3.5,3.5,4.1,4.3,4.7,5.2,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
ARACOIABA,2.9,3.4,3.3,3.2,3.8,4.2,4.6,4.9,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
ARARENDÁ,2.7,2.9,3.5,3.4,3.9,4.8,5.4,6.9,2.8,2.9,3.2,3.6,3.9,4.2,4.5,4.7
ARARIPE,2.4,3.1,3.3,4.1,4.2,4.6,5.0,5.6,2.5,2.7,3.0,3.4,3.8,4.0,4.3,4.6
ARATUBA,3.3,3.9,4.0,4.8,5.2,5.0,5.4,5.3,3.3,3.5,3.8,4.2,4.6,4.8,5.1,5.3
ARNEIROZ,2.8,3.1,2.5,4.0,4.3,4.7,4.4,4.8,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
ASSARÉ,2.8,2.9,3.5,4.0,4.1,4.7,4.9,4.7,2.8,3.0,3.2,3.6,4.0,4.3,4.6,4.8
AURORA,3.5,3.4,3.5,3.0,3.3,4.6,4.8,4.7,3.5,3.6,3.9,4.3,4.7,5.0,5.2,5.5
BAIXIO,,3.1,3.0,3.3,4.6,4.3,4.3,4.4,,3.1,3.4,3.7,4.0,4.3,4.6,4.8
